id,supplier_id,brand_id,list_price,cost,description,category_id,catalog_number,weight,condition,is_obsolete,ship_time,freight_class
2930282,9,9,1.43,0.6,Climax GSC-068-DT 11/16^ ID Set Screw Collar STLUNPLATED,116,GSC-068-DT,0.125,1,FALSE,24,50
2930283,9,9,5.71,2.4,Climax GSC-068-SS 11/16^ ID Set Screw Collar SS,116,GSC-068-SS,0.124289,1,FALSE,24,50
2930284,9,9,1.17,0.49,Climax GSC-068-Z 11/16^ ID Set Screw Collar STL Zinc,116,GSC-068-Z,0.125,1,FALSE,24,50
2930285,9,9,1.5,0.63,Climax GSC-075-DT 3/4^ ID Set Screw Collar STLUNPLATED,116,GSC-075-DT,0.1188,1,FALSE,24,50
2930286,9,9,1.5,0.63,Climax GSC-081-DT 13/16^ ID Set Screw Collar STLUNPLATED,116,GSC-081-DT,0.1062,1,FALSE,24,50
2930287,9,9,1.55,0.65,Climax GSC-087-DT 7/8^ ID Set Screw Collar STLUNPLATED,116,GSC-087-DT,0.1812,1,FALSE,24,50
2930288,9,9,1.69,0.71,Climax GSC-093-DT 15/16^ ID Set Screw Collar STLUNPLATED,116,GSC-093-DT,0.1712,1,FALSE,24,50
2930289,9,9,2.02,0.85,Climax GSC-100-DT 1^ ID Set Screw Collar STLUNPLATED,116,GSC-100-DT,0.1738,1,FALSE,24,50
2930290,9,9,2.5,1.05,Climax GSC-106-DT 1 1/16^ ID Set Screw Collar STLUNPLATED,116,GSC-106-DT,0.2562,1,FALSE,24,50
2930291,9,9,2.57,1.08,Climax GSC-112-DT 1 1/8^ ID Set Screw Collar STLUNPLATED,116,GSC-112-DT,0.2438,1,FALSE,24,50
2930292,9,9,2.86,1.2,Climax GSC-118-DT 1 3/16^ ID Set Screw Collar STLUNPLATED,116,GSC-118-DT,0.3812,1,FALSE,24,50
2930293,9,9,3.05,1.28,Climax GSC-125-DT 1 1/4^ ID Set Screw Collar STLUNPLATED,116,GSC-125-DT,0.3562,1,FALSE,24,50
2930294,9,9,3.05,1.28,Climax GSC-131-DT 1 5/16^ ID Set Screw Collar STLUNPLATED,116,GSC-131-DT,0.4125,1,FALSE,24,50
2930295,9,9,3.31,1.39,Climax GSC-137-DT 1 3/8^ ID Set Screw Collar STLUNPLATED,116,GSC-137-DT,0.4188,1,FALSE,24,50
2930296,9,9,3.62,1.52,Climax GSC-143-DT 1 7/16^ ID Set Screw Collar STLUNPLATED,116,GSC-143-DT,0.475,1,FALSE,24,50
2930297,9,9,4.05,1.7,Climax GSC-150-DT 1 1/2^ ID Set Screw Collar STLUNPLATED,116,GSC-150-DT,0.45,1,FALSE,24,50
2930298,9,9,4.67,1.96,Climax GSC-156-DT 1 9/16^ ID Set Screw Collar STLUNPLATED,116,GSC-156-DT,0.6688,1,FALSE,24,50
2930299,9,9,4.81,2.02,Climax GSC-162-DT 1 5/8^ ID Set Screw Collar STLUNPLATED,116,GSC-162-DT,0.6312,1,FALSE,24,50
2930300,9,9,5,2.1,Climax GSC-168-DT 1 11/16^ ID Set Screw Collar STLUNPLATED,116,GSC-168-DT,0.5938,1,FALSE,24,50
2930301,9,9,6.14,2.58,Climax GSC-175-DT 1 3/4^ ID Set Screw Collar STLUNPLATED,116,GSC-175-DT,0.7125,1,FALSE,24,50
2930302,9,9,6.45,2.71,Climax GSC-181-DT 1 13/16^ ID Set Screw Collar STLUNPLATED,116,GSC-181-DT,0.7938,1,FALSE,24,50
2930303,9,9,6.67,2.8,Climax GSC-187-DT 1 7/8^ ID Set Screw Collar STLUNPLATED,116,GSC-187-DT,0.7625,1,FALSE,24,50
2930304,9,9,7.38,3.1,Climax GSC-193-DT 1 15/16^ ID Set Screw Collar STLUNPLATED,116,GSC-193-DT,0.9812,1,FALSE,24,50
2930305,9,9,7.4,3.11,Climax GSC-200-DT 2^ ID Set Screw Collar STLUNPLATED,116,GSC-200-DT,0.9312,1,FALSE,24,50
2930306,9,9,46.79,19.65,Climax GSC-206-SS 2 1/16^ ID Set Screw Collar SS,116,GSC-206-SS,0.92591,1,FALSE,24,50
