ID</li></ul>,ADDITIONAL_DESCRIPTION</li></ul>
5060318</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:3.06 lb</li><li>C - Ring Width:1.4380 in</li><li>C0 - Static Radial Rating:20000 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:23800 lbf</li><li>Contact Angle:30 &deg;</li><li>D - Outer Diameter:4.3307 in</li><li>Da - Outer Ring Backing Diameter:3.925 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:2.3622 in</li><li>da - Inner Ring Backing Diameter:2.740 in</li><li>do - Ball Diameter:0.59400 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5060490</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.62 lb</li><li>Bearing Width:0.6693 in</li><li>C0 - Static Radial Rating:4490 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:7580 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:2.8346 in</li><li>Da - Outer Ring Backing Diameter:2.570 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):21600 rpm</li><li>Limiting Speed (Oil):43200 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.3780 in</li><li>da - Inner Ring Backing Diameter:1.660 in</li><li>do - Ball Diameter:0.437500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5060506</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:2.580 lb</li><li>Bearing Width:0.9449 in</li><li>C0 - Static Radial Rating:15500 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:17900 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:5.5118 in</li><li>Da - Outer Ring Backing Diameter:5.160 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):9200 rpm</li><li>Limiting Speed (Oil):18400 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:3.5433 in</li><li>da - Inner Ring Backing Diameter:3.930 in</li><li>do - Ball Diameter:0.593750 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5060514</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:2.86 lb</li><li>Bearing Width:0.9449 in</li><li>C0 - Static Radial Rating:17400 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:18800 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:5.9055 in</li><li>Da - Outer Ring Backing Diameter:5.550 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):8300 rpm</li><li>Limiting Speed (Oil):16600 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:3.9370 in</li><li>da - Inner Ring Backing Diameter:4.330 in</li><li>do - Ball Diameter:0.593750 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5060588</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.33 lb</li><li>Bearing Width:0.5512 in</li><li>C0 - Static Radial Rating:3070 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:4760 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:2.4409 in</li><li>Da - Outer Ring Backing Diameter:2.230 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):22600 rpm</li><li>Limiting Speed (Oil):45200 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.3780 in</li><li>da - Inner Ring Backing Diameter:1.600 in</li><li>do - Ball Diameter:0.312500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5060611</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:4.15 lb</li><li>Bearing Width:1.1024 in</li><li>C0 - Static Radial Rating:15000 lbf</li><li>Cage Type:CR - Phenolic Inner Land Riding Cage</li><li>Ce - Dynamic Radial Rating:18700 lbf</li><li>D - Outer Diameter:6.6929 in</li><li>Da - Outer Ring Backing Diameter:6.240 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):6840 rpm</li><li>Limiting Speed (Oil):13680 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.079 in</li><li>d - Bore:4.3307 in</li><li>da - Inner Ring Backing Diameter:4.820 in</li><li>do - Ball Diameter:0.687500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.079 in</li></ul>"
5060649</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:1.99 lb</li><li>Bearing Width:0.8661 in</li><li>C0 - Static Radial Rating:13200 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:15000 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:5.1181 in</li><li>Da - Outer Ring Backing Diameter:4.810 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):9700 rpm</li><li>Limiting Speed (Oil):19400 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:3.3465 in</li><li>da - Inner Ring Backing Diameter:3.710 in</li><li>do - Ball Diameter:0.531250 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5060744</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.04 lb</li><li>Bearing Width:0.3150 in</li><li>C0 - Static Radial Rating:490 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:1210 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:1.0236 in</li><li>Da - Outer Ring Backing Diameter:0.920 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):68500 rpm</li><li>Limiting Speed (Oil):137000 rpm</li><li>R - Inner Ring ""To Clear"" Radius:0.012 in</li><li>d - Bore:0.3937 in</li><li>da - Inner Ring Backing Diameter:0.530 in</li><li>do - Ball Diameter:0.18750 in</li><li>r - Outer Ring ""To Clear"" Radius:0.012 in</li></ul>"
5059852</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.472 in</li><li>Dimension B1:1.906 in</li><li>Dimension B2:0.811 in</li><li>Dimension S1:1.433 in</li><li>Dynamic Load Rating:10800 lbf</li><li>Inside Ring Width B:1.281 in</li><li>Lubrication Type:Non-Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:3.937 in</li><li>Outside Ring Width C:0.945 in</li><li>Radius r:0.024 in</li><li>Seal Type:Molded Shroud</li><li>Series:Standard</li><li>Static Load Rating:6400 lbf</li><li>Sub Series:RA..RRB</li><li>Weight:0.5 lb</li></ul>
5059853</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.689 in</li><li>Dimension B1:1.748 in</li><li>Dimension B2:0.531 in</li><li>Dimension S1:1.059 in</li><li>Dynamic Load Rating:3550 lbf</li><li>Inside Ring Width B:1.375 in</li><li>Lubrication Type:Non-Relubricatable</li><li>O.D. Type:Cylindrical OD</li><li>Outside Diameter D:2.047 in</li><li>Outside Ring Width C:0.591 in</li><li>Radius r:0.024 in</li><li>Seal Type:Shroud Seal</li><li>Series:Industrial</li><li>Static Load Rating:1730 lbf</li><li>Sub Series:1..KRR</li><li>Weight:0.5 lb</li></ul>
5059854</li></ul>,<p>specifications</p><ul><li>D - Outside Diameter:22.835 in</li><li>D1 - Cup Bore:16.024 in</li><li>Dynamic Load Rating:5155 kN 1159000 lbf</li><li>E - Shoulder Diameter - Housing (Max):17.480 in</li><li>H - Shoulder Diameter - Shaft (Min):18.460 in</li><li>S - Dimension:7.520 in</li><li>Static Load Rating:18909 kN 4251000 lbf</li><li>T - Total Width:6.102 in</li><li>T1 - Cage Position:4.416 in</li><li>T2 - Groove Position:2.217 in</li><li>T3 - Cup Width:3.169 in</li><li>Thermal Speed Rating:530 rpm</li><li>UPC Code:87796163102</li><li>Weight:361.5 lb</li><li>d - Bore:12.598 in</li><li>d1 - Cone Outside Diameter:20.236 in</li><li>r - Fillet Radius:0.240 in</li></ul>
5059863</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.374 in</li><li>Dimension B1:1.531 in</li><li>Dimension B2:0.673 in</li><li>Dimension M:0.145 in</li><li>Dimension S1:1.157 in</li><li>Dynamic Load Rating:6400 lbf</li><li>Inside Ring Width B:1.000 in</li><li>Lubrication Type:Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:2.835 in</li><li>Outside Ring Width C:0.748 in</li><li>Radius r:0.024 in</li><li>Seal Type:Molded Shroud</li><li>Series:Standard</li><li>Static Load Rating:3400 lbf</li><li>Sub Series:GRAE..RRB</li><li>Weight:0.5 lb</li></ul>
5059864</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.427 in</li><li>Dimension M:0.145 in</li><li>Dimension S1:1.010 in</li><li>Dynamic Load Rating:6400 lbf</li><li>Inside Ring Width B:1.437 in</li><li>Lubrication Type:Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:2.835 in</li><li>Outside Ring Width C:0.748 in</li><li>Radius r:0.024 in</li><li>Seal Type:Narrow Shroud</li><li>Series:Standard</li><li>Set Screw Distance S2:0.310 in</li><li>Static Load Rating:3400 lbf</li><li>Sub Series:GYAE..RRB</li><li>Weight:0.5 lb</li></ul>
5059865</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.374 in</li><li>Dimension B1:1.531 in</li><li>Dimension B2:0.673 in</li><li>Dimension S1:1.157 in</li><li>Dynamic Load Rating:6400 lbf</li><li>Inside Ring Width B:1.000 in</li><li>Lubrication Type:Non-Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:2.835 in</li><li>Outside Ring Width C:0.748 in</li><li>Radius r:0.024 in</li><li>Seal Type:Molded Shroud</li><li>Series:Standard</li><li>Static Load Rating:3400 lbf</li><li>Sub Series:RAE..RRB</li><li>Weight:0.5 lb</li></ul>
5059866</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.720 in</li><li>Dimension B1:2.031 in</li><li>Dimension B2:0.689 in</li><li>Dimension M:0.156 in</li><li>Dimension S1:1.311 in</li><li>Dynamic Load Rating:9100 lbf</li><li>Inside Ring Width B:1.500 in</li><li>Lubrication Type:Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:3.150 in</li><li>Outside Ring Width C:0.866 in</li><li>Radius r:0.024 in</li><li>Seal Type:Labyrinth Seal</li><li>Series:Medium-Duty</li><li>Static Load Rating:4500 lbf</li><li>Sub Series:GN..KLLB</li><li>Weight:0.5 lb</li></ul>
5059868</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.720 in</li><li>Dimension B1:1.906 in</li><li>Dimension B2:0.626 in</li><li>Dimension S1:1.185 in</li><li>Dynamic Load Rating:4900 lbf</li><li>Inside Ring Width B:1.437 in</li><li>Lubrication Type:Non-Relubricatable</li><li>O.D. Type:Cylindrical OD</li><li>Outside Diameter D:2.441 in</li><li>Outside Ring Width C:0.709 in</li><li>Radius r:0.024 in</li><li>Seal Type:Shroud Seal</li><li>Series:Industrial</li><li>Static Load Rating:2500 lbf</li><li>Sub Series:1..KRR</li><li>Weight:0.5 lb</li></ul>
5059870</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.720 in</li><li>Dimension B1:1.906 in</li><li>Dimension B2:0.626 in</li><li>Dimension S1:1.185 in</li><li>Dynamic Load Rating:4900 lbf</li><li>Inside Ring Width B:1.437 in</li><li>Lubrication Type:Non-Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:2.441 in</li><li>Outside Ring Width C:0.709 in</li><li>Radius r:0.024 in</li><li>Seal Type:Shroud Seal</li><li>Series:Industrial</li><li>Static Load Rating:2500 lbf</li><li>Sub Series:1..KRRB</li><li>Weight:0.5 lb</li></ul>
5059881</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:1.312 in</li><li>Dimension M:0.219 in</li><li>Dimension S1:1.750 in</li><li>Dynamic Load Rating:18000 lbf</li><li>Inside Ring Width B:3.063 in</li><li>Lubrication Type:Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:5.512 in</li><li>Outside Ring Width C:1.142 in</li><li>Radius r:0.024 in</li><li>Seal Type:Shroud Seal</li><li>Series:Medium-Duty</li><li>Set Screw Distance S2:0.472 in</li><li>Static Load Rating:12000 lbf</li><li>Sub Series:GYM..KRRB</li><li>Weight:0.5 lb</li></ul>
5059884</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.295 in</li><li>Dimension B1:1.220 in</li><li>Dimension B2:0.531 in</li><li>Dimension M:0.120 in</li><li>Dimension S1:0.926 in</li><li>Dynamic Load Rating:3200 lbf</li><li>Inside Ring Width B:0.844 in</li><li>Lubrication Type:Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:1.850 in</li><li>Outside Ring Width C:0.591 in</li><li>Radius r:0.024 in</li><li>Seal Type:Molded Shroud</li><li>Series:Standard</li><li>Static Load Rating:1400 lbf</li><li>Sub Series:GRA..RRB</li><li>Weight:0.5 lb</li></ul>
5059885</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.349 in</li><li>Dimension M:0.120 in</li><li>Dimension S1:0.714 in</li><li>Dynamic Load Rating:3200 lbf</li><li>Inside Ring Width B:1.063 in</li><li>Lubrication Type:Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:1.850 in</li><li>Outside Ring Width C:0.551 in</li><li>Radius r:0.024 in</li><li>Seal Type:Narrow Shroud</li><li>Series:Standard</li><li>Set Screw Distance S2:0.237 in</li><li>Static Load Rating:1400 lbf</li><li>Sub Series:GYA..RRB</li><li>Weight:0.5 lb</li></ul>
5059894</li></ul>,<p>specifications</p><ul><li>D - Outside Diameter:26.378 in</li><li>D1 - Cup Bore:18.780 in</li><li>Dynamic Load Rating:6490 kN 1460000 lbf</li><li>E - Shoulder Diameter - Housing (Max):20.390 in</li><li>H - Shoulder Diameter - Shaft (Min):21.500 in</li><li>S - Dimension:8.819 in</li><li>Static Load Rating:24870 kN 5592000 lbf</li><li>T - Total Width:6.890 in</li><li>T1 - Cage Position:4.980 in</li><li>T2 - Groove Position:2.870 in</li><li>T3 - Cup Width:3.583 in</li><li>Thermal Speed Rating:440 rpm</li><li>UPC Code:87796163119</li><li>Weight:564.4 lb</li><li>d - Bore:14.961 in</li><li>d1 - Cone Outside Diameter:23.504 in</li><li>r - Fillet Radius:0.240 in</li></ul>
5060008</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.90 lb</li><li>Bearing Width:0.7087 in</li><li>C0 - Static Radial Rating:6860 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:8730 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:3.7402 in</li><li>Da - Outer Ring Backing Diameter:3.470 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):13600 rpm</li><li>Limiting Speed (Oil):27200 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:2.3622 in</li><li>da - Inner Ring Backing Diameter:2.650 in</li><li>do - Ball Diameter:0.406250 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5060022</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.43 lb</li><li>Bearing Width:0.6299 in</li><li>C0 - Static Radial Rating:3310 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:5740 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:2.4409 in</li><li>Da - Outer Ring Backing Diameter:2.210 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):25100 rpm</li><li>Limiting Speed (Oil):50200 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.1811 in</li><li>da - Inner Ring Backing Diameter:1.440 in</li><li>do - Ball Diameter:0.37500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5060041</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.4 lb</li><li>Bearing Width:0.5906 in</li><li>C0 - Static Radial Rating:2600 lbf</li><li>Cage Type:CR - Phenolic Inner Land Riding Cage</li><li>Ce - Dynamic Radial Rating:4180 lbf</li><li>D - Outer Diameter:2.6772 in</li><li>Da - Outer Ring Backing Diameter:2.450 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):18200 rpm</li><li>Limiting Speed (Oil):36400 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.5748 in</li><li>da - Inner Ring Backing Diameter:1.800 in</li><li>do - Ball Diameter:0.312500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5060044</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.14 lb</li><li>Bearing Width:0.4724 in</li><li>C0 - Static Radial Rating:1060 lbf</li><li>Cage Type:CR - Phenolic Inner Land Riding Cage</li><li>Ce - Dynamic Radial Rating:2380 lbf</li><li>D - Outer Diameter:1.5748 in</li><li>Da - Outer Ring Backing Diameter:1.410 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):38500 rpm</li><li>Limiting Speed (Oil):77000 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.024 in</li><li>d - Bore:0.6693 in</li><li>da - Inner Ring Backing Diameter:0.850 in</li><li>do - Ball Diameter:0.265625 in</li><li>r - Outer Ring ""To Clear"" Radius:0.024 in</li></ul>"
5061230</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:2.51 lb</li><li>C - Ring Width:1.4380 in</li><li>C0 - Static Radial Rating:10400 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:16300 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:3.5433 in</li><li>Da - Outer Ring Backing Diameter:3.125 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:1.5748 in</li><li>da - Inner Ring Backing Diameter:1.965 in</li><li>do - Ball Diameter:0.59400 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5061233</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.46 lb</li><li>Bearing Width:0.6299 in</li><li>C0 - Static Radial Rating:3050 lbf</li><li>Cage Type:Ball Piloted, Pressed Brass Cage</li><li>Ce - Dynamic Radial Rating:5200 lbf</li><li>Contact Angle:40 &deg;</li><li>D - Outer Diameter:2.4409 in</li><li>Da - Outer Ring Backing Diameter:1.980 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.1811 in</li><li>da - Inner Ring Backing Diameter:1.660 in</li><li>do - Ball Diameter:0.37500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5061236</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.100 lb</li><li>Bearing Width:0.4331 in</li><li>C0 - Static Radial Rating:1060 lbf</li><li>Cage Type:Nylon Cage</li><li>Ce - Dynamic Radial Rating:2320 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:1.3780 in</li><li>Da - Outer Ring Backing Diameter:1.159 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.024 in</li><li>d - Bore:0.5906 in</li><li>da - Inner Ring Backing Diameter:0.8836 in</li><li>do - Ball Diameter:0.25000 in</li><li>r - Outer Ring ""To Clear"" Radius:0.024 in</li></ul>"
5061239</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.15 lb</li><li>Bearing Width:0.4727 in</li><li>C0 - Static Radial Rating:1560 lbf</li><li>Cage Type:Nylon Cage</li><li>Ce - Dynamic Radial Rating:3200 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:1.5748 in</li><li>Da - Outer Ring Backing Diameter:1.319 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.024 in</li><li>d - Bore:0.6693 in</li><li>da - Inner Ring Backing Diameter:0.9215 in</li><li>do - Ball Diameter:0.281250 in</li><li>r - Outer Ring ""To Clear"" Radius:0.024 in</li></ul>"
5061246</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:1.74 lb</li><li>Bearing Width:0.8661 in</li><li>C0 - Static Radial Rating:11000 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:16000 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:4.3307 in</li><li>Da - Outer Ring Backing Diameter:3.990 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):13200 rpm</li><li>Limiting Speed (Oil):26400 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:2.3622 in</li><li>da - Inner Ring Backing Diameter:2.730 in</li><li>do - Ball Diameter:0.62500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5061254</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:2.19 lb</li><li>Bearing Width:0.9449 in</li><li>C0 - Static Radial Rating:9800 lbf</li><li>Cage Type:CR - Phenolic Inner Land Riding Cage</li><li>Ce - Dynamic Radial Rating:15500 lbf</li><li>D - Outer Diameter:4.9213 in</li><li>Da - Outer Ring Backing Diameter:4.560 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):10500 rpm</li><li>Limiting Speed (Oil):21000 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:2.7559 in</li><li>da - Inner Ring Backing Diameter:3.160 in</li><li>do - Ball Diameter:0.687500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5061269</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:2.51 lb</li><li>C - Ring Width:1.4380 in</li><li>C0 - Static Radial Rating:15000 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:20400 lbf</li><li>Contact Angle:30 &deg;</li><li>D - Outer Diameter:3.5433 in</li><li>Da - Outer Ring Backing Diameter:3.125 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:1.5748 in</li><li>da - Inner Ring Backing Diameter:1.965 in</li><li>do - Ball Diameter:0.59400 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5061272</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:3.16 lb</li><li>C - Ring Width:1.5620 in</li><li>C0 - Static Radial Rating:12700 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:19600 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:3.9370 in</li><li>Da - Outer Ring Backing Diameter:3.495 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:1.7717 in</li><li>da - Inner Ring Backing Diameter:2.205 in</li><li>do - Ball Diameter:0.65600 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5061274</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:3.16 lb</li><li>C - Ring Width:1.5620 in</li><li>C0 - Static Radial Rating:18300 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:24000 lbf</li><li>Contact Angle:30 &deg;</li><li>D - Outer Diameter:3.9370 in</li><li>Da - Outer Ring Backing Diameter:3.574 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:1.7717 in</li><li>da - Inner Ring Backing Diameter:2.205 in</li><li>do - Ball Diameter:0.65600 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
5061278</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:4.61 lb</li><li>C - Ring Width:1.7500 in</li><li>C0 - Static Radial Rating:16600 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:25000 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:4.3307 in</li><li>Da - Outer Ring Backing Diameter:3.845 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.079 in</li><li>d - Bore:1.9685 in</li><li>da - Inner Ring Backing Diameter:2.430 in</li><li>do - Ball Diameter:0.75000 in</li><li>r - Outer Ring ""To Clear"" Radius:0.079 in</li></ul>"
5061280</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:4.61 lb</li><li>C - Ring Width:1.7500 in</li><li>C0 - Static Radial Rating:22000 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:28500 lbf</li><li>Contact Angle:30 &deg;</li><li>D - Outer Diameter:4.3307 in</li><li>Da - Outer Ring Backing Diameter:3.932 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.079 in</li><li>d - Bore:1.9685 in</li><li>da - Inner Ring Backing Diameter:2.430 in</li><li>do - Ball Diameter:0.71900 in</li><li>r - Outer Ring ""To Clear"" Radius:0.079 in</li></ul>"
5061282</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:1.988 lb</li><li>C - Ring Width:1.3730 in</li><li>C0 - Static Radial Rating:10800 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:15000 lbf</li><li>Contact Angle:30 &deg;</li><li>D - Outer Diameter:3.1490 in</li><li>Da - Outer Ring Backing Diameter:2.808 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.059 in</li><li>d - Bore:0.9841 in</li><li>da - Inner Ring Backing Diameter:1.951 in</li><li>do - Ball Diameter:0.53100 in</li><li>r - Outer Ring ""To Clear"" Radius:0.059 in</li></ul>"
