ID</li></ul>,ADDITIONAL_DESCRIPTION</li></ul>
5059639</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:1.000 in</li><li>Dimension M:0.202 in</li><li>Dimension S1:1.562 in</li><li>Dynamic Load Rating:13200 lbf</li><li>Inside Ring Width B:2.562 in</li><li>Lubrication Type:Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:4.331 in</li><li>Outside Ring Width C:1.063 in</li><li>Radius r:0.024 in</li><li>Seal Type:Shroud Seal</li><li>Series:Medium-Duty</li><li>Set Screw Distance S2:0.394 in</li><li>Static Load Rating:8000 lbf</li><li>Sub Series:GYM..KRRB</li><li>Weight:0.5 lb</li></ul>
5059641</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:1.220 in</li><li>Dimension B1:3.063 in</li><li>Dimension B2:0.874 in</li><li>Dimension M:0.202 in</li><li>Dimension S1:1.843 in</li><li>Dynamic Load Rating:13200 lbf</li><li>Inside Ring Width B:2.437 in</li><li>Lubrication Type:Relubricatable</li><li>O.D. Type:Spherical OD</li><li>Outside Diameter D:4.331 in</li><li>Outside Ring Width C:1.063 in</li><li>Radius r:0.024 in</li><li>Seal Type:Shroud Seal</li><li>Series:Industrial</li><li>Static Load Rating:8000 lbf</li><li>Sub Series:G1…KRRB</li><li>Weight:0.5 lb</li></ul>
5059263</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.65 lb</li><li>C - Ring Width:0.9380 in</li><li>C0 - Static Radial Rating:6100 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:8800 lbf</li><li>Contact Angle:30 &deg;</li><li>D - Outer Diameter:2.4409 in</li><li>Da - Outer Ring Backing Diameter:2.248 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.1811 in</li><li>da - Inner Ring Backing Diameter:1.405 in</li><li>do - Ball Diameter:0.37500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5059266</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:1.06 lb</li><li>C - Ring Width:1.0620 in</li><li>C0 - Static Radial Rating:6550 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:10200 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:2.8346 in</li><li>Da - Outer Ring Backing Diameter:2.515 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.3780 in</li><li>da - Inner Ring Backing Diameter:1.625 in</li><li>do - Ball Diameter:0.43800 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5059267</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:1.06 lb</li><li>C - Ring Width:1.0620 in</li><li>C0 - Static Radial Rating:8300 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:11600 lbf</li><li>Contact Angle:30 &deg;</li><li>D - Outer Diameter:2.8346 in</li><li>Da - Outer Ring Backing Diameter:2.606 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.3780 in</li><li>da - Inner Ring Backing Diameter:1.625 in</li><li>do - Ball Diameter:0.43800 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5059269</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:1.32 lb</li><li>C - Ring Width:1.1880 in</li><li>C0 - Static Radial Rating:7650 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:11600 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:3.1496 in</li><li>Da - Outer Ring Backing Diameter:2.825 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.5748 in</li><li>da - Inner Ring Backing Diameter:1.835 in</li><li>do - Ball Diameter:0.46900 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5059270</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:1.32 lb</li><li>C - Ring Width:1.1880 in</li><li>C0 - Static Radial Rating:10600 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:14000 lbf</li><li>Contact Angle:30 &deg;</li><li>D - Outer Diameter:3.1496 in</li><li>Da - Outer Ring Backing Diameter:2.840 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.5748 in</li><li>da - Inner Ring Backing Diameter:2.050 in</li><li>do - Ball Diameter:0.46900 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5059272</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:1.54 lb</li><li>C - Ring Width:1.1880 in</li><li>C0 - Static Radial Rating:8800 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:12900 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:3.3456 in</li><li>Da - Outer Ring Backing Diameter:3.020 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.7717 in</li><li>da - Inner Ring Backing Diameter:2.035 in</li><li>do - Ball Diameter:0.50000 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5059319</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:3.40 lb</li><li>Bearing Width:1.1417 in</li><li>C0 - Static Radial Rating:15000 lbf</li><li>Ce - Dynamic Radial Rating:24000 lbf</li><li>D - Outer Diameter:4.7244 in</li><li>Da - Outer Ring Backing Diameter:4.330 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):2860 rpm</li><li>Limiting Speed (Oil):3430 rpm</li><li>R - Inner Ring ""To Clear"" Radius:0.079 in</li><li>d - Bore:2.1654 in</li><li>da - Inner Ring Backing Diameter:2.560 in</li><li>do - Ball Diameter:0.81250 in</li><li>r - Outer Ring ""To Clear"" Radius:0.079 in</li></ul>"
5059322</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:3.89 lb</li><li>Bearing Width:1.2205 in</li><li>C0 - Static Radial Rating:11600 lbf</li><li>Ce - Dynamic Radial Rating:20800 lbf</li><li>D - Outer Diameter:5.1181 in</li><li>Da - Outer Ring Backing Diameter:4.650 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):3160 rpm</li><li>Limiting Speed (Oil):3680 rpm</li><li>R - Inner Ring ""To Clear"" Radius:0.083 in</li><li>d - Bore:2.3622 in</li><li>da - Inner Ring Backing Diameter:2.840 in</li><li>do - Ball Diameter:0.87500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.083 in</li></ul>"
