id,category_id
700814,387
700813,387
700812,387
700805,387
700804,387
700803,387
700802,387
700801,387
700800,387
700799,387
700798,387
700797,387
700791,387
700790,387
700788,387
700787,387
700786,387
700781,387
700779,387
700777,387
700776,387
700775,387
700774,387
700773,387
700772,387
700771,387
700770,387
700768,387
700767,387
700765,387
700764,387
700761,387
700759,387
700758,387
700757,387
700756,387
700755,387
700754,387
700753,387
700752,387
700750,387
700749,387
700748,387
700746,387
700733,387
700732,387
700731,387
700730,387
700729,387
700727,387
700726,387
700725,387
700724,387
700723,387
700722,387
700721,387
700720,387
700719,387
700718,387
700717,387
700716,387
700715,387
700714,387
700713,387
700712,387
700711,387
700710,387
700709,387
700708,387
700707,387
700706,387
700705,387
700704,387
700703,387
700702,387
700701,387
700700,387
700699,387
700698,387
700697,387
700696,387
700695,387
700694,387
700693,387
700692,387
700691,387
700687,387
700686,387
700672,387
700671,387
700670,387
700669,387
700668,387
700667,387
700666,387
700665,387
700664,387
700662,387
700661,387
700660,387
700659,387
700658,387
700657,387
700650,387
700647,387
700644,387
700643,387
700642,387
700640,387
697744,265
697742,265
697740,265
697738,265
697736,265
697734,265
697732,265
697730,265
697728,265
697726,265
697724,265
697722,265
697720,265
697719,265
697718,265
697717,265
697716,265
697715,265
697714,265
697713,265
697712,265
697711,265
697710,265
697709,265
697708,265
697707,265
697706,265
697705,265
697704,265
697703,265
697702,265
27794,265
27787,265
27779,265
27769,265
27763,265
27761,265
27750,265
27745,265
27730,265
27714,265
27702,265
27676,265
27670,265
27661,265
27794,265
27787,265
27779,265
27769,265
27763,265
27761,265
27750,265
27745,265
27730,265
27714,265
27702,265
27676,265
27670,265
27661,265
27393,387
27386,387
27340,387
27297,387
26621,265
26481,265
26386,265
26235,265
26184,265
26062,265
25973,265
