"ID","ATTRIBUTES"
228761,"Output HP:2.53|Output RPM:63|Ratio:28 to 1|Reducer Type:Single|Size:56C"
228762,"Output HP:1.66|Output RPM:46|Ratio:38 to 1|Reducer Type:Single|Size:56C"
228766,"Output HP:1.2|Output RPM:34|Ratio:52 to 1|Reducer Type:Single|Size:56C"
228768,"Output HP:0.52|Output RPM:18.2|Ratio:96 to 1|Reducer Type:Single|Size:56C"
228773,"Output HP:2.53|Output RPM:63|Ratio:28 to 1|Reducer Type:Single|Size:140TC"
228783,"Output HP:4.61|Output RPM:125|Ratio:14 to 1|Reducer Type:Single|Size:180TC"
228785,"Output HP:3.09|Output RPM:88|Ratio:20 to 1|Reducer Type:Single|Size:180TC"
228802,"Output HP:0.375|Output RPM:6.25|Ratio:280 to 1|Reducer Type:Double|Size:56C"
228806,"Output HP:0.632|Output RPM:13.53|Ratio:129 to 1|Size:56C"
228807,"Output HP:0.532|Output RPM:9.97|Ratio:175.6 to 1|Size:56C"
228810,"Output HP:0.194|Output RPM:4.15|Ratio:422 to 1|Size:56C"
1318145,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single"
1318146,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single"
1318147,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single"
1318148,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single"
1318149,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single"
1318150,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single"
1318151,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single"
1318152,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single"
1318153,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single"
1318154,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single"
1318155,"Output HP:0.064|Output RPM:21|Ratio:80 to 1|Reducer Type:Single"
1318156,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single"
1318157,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single"
1318158,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single"
1318159,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single"
1318160,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single"
1318161,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single"
1318162,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single"
1318163,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single"
1318164,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single"
1318165,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single"
1318166,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single"
1318167,"Output HP:0.064|Output RPM:21|Ratio:80 to 1|Reducer Type:Single"
1318168,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single"
1318169,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single"
1318170,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single"
1318171,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single"
1318172,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single"
1318173,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single"
1318174,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single"
1318175,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single"
1318176,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single"
1318177,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single"
1318178,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single"
1318179,"Output HP:0.064|Output RPM:21|Ratio:80 to 1|Reducer Type:Single"
1318180,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single"
1318209,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:56C"
1318217,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:56C"
1318218,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:56C"
1318219,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
1318220,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:56C"
1318221,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:56C"
1318222,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:56C"
1318223,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:56C"
1318224,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:56C"
1318225,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:56C"
1318226,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
1318227,"Output HP:0.064|Output RPM:21|Ratio:80 to 1|Reducer Type:Single|Size:56C"
1318228,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:56C"
1318229,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:56C"
1318230,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:56C"
1318231,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
1318232,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:56C"
1318233,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:56C"
1318234,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:56C"
1318235,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:56C"
1318236,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:56C"
1318237,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:56C"
1318238,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
1318239,"Output HP:0.064|Output RPM:21|Ratio:80 to 1|Reducer Type:Single|Size:56C"
1318240,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:56C"
1318241,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:56C"
1318242,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:56C"
1318243,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
1318244,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:56C"
1318245,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:56C"
1318246,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:56C"
1318247,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:56C"
1318248,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:56C"
1318249,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:56C"
1318250,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
1318251,"Output HP:0.064|Output RPM:21|Ratio:80 to 1|Reducer Type:Single|Size:56C"
1318252,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:56C"
1318294,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:140TC"
1318295,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:140TC"
1318296,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:140TC"
1318297,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:140TC"
1318298,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:140TC"
1318299,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:140TC"
1318300,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:140TC"
1318301,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:140TC"
1318302,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:140TC"
1318303,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:140TC"
1318304,"Output HP:0.064|Output RPM:21|Ratio:80 to 1|Reducer Type:Single|Size:140TC"
1318305,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:140TC"
1318306,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:140TC"
1318307,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:140TC"
1318308,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:140TC"
1318309,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:140TC"
1318310,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:140TC"
1318311,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:140TC"
1318312,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:140TC"
1318313,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:140TC"
1318314,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:140TC"
1318315,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:140TC"
1318316,"Output HP:0.064|Output RPM:21|Ratio:80 to 1|Reducer Type:Single|Size:140TC"
1318317,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:140TC"
1318318,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:140TC"
1318319,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:140TC"
1318320,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:140TC"
1318321,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:140TC"
1318322,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:140TC"
1318323,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:140TC"
1318324,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:140TC"
1318325,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:140TC"
1318326,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:140TC"
1318327,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:140TC"
1318328,"Output HP:0.064|Output RPM:21|Ratio:80 to 1|Reducer Type:Single|Size:140TC"
1318329,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:140TC"
1318330,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single"
1318331,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single"
1318332,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single"
1318333,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single"
1318334,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single"
1318335,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single"
1318336,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single"
1318337,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single"
1318338,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single"
1318339,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single"
1318340,"Output HP:0.064|Output RPM:21.9|Ratio:80 to 1|Reducer Type:Single"
1318341,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single"
1318354,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:56C"
1318355,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:56C"
1318356,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
1318357,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:56C"
1318358,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:56C"
1318359,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:56C"
1318360,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:56C"
1318361,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:56C"
1318362,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:56C"
1318363,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
1318364,"Output HP:0.064|Output RPM:21.9|Ratio:80 to 1|Reducer Type:Single|Size:56C"
1318365,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:56C"
1318378,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:140TC"
1318379,"Output HP:0.933|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:140TC"
1318380,"Output HP:0.729|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:140TC"
1318381,"Output HP:0.541|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:140TC"
1318382,"Output HP:0.445|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:140TC"
1318383,"Output HP:0.344|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:140TC"
1318384,"Output HP:0.29|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:140TC"
1318385,"Output HP:0.223|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:140TC"
1318386,"Output HP:0.182|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:140TC"
1318387,"Output HP:0.145|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:140TC"
1318388,"Output HP:0.064|Output RPM:21.9|Ratio:80 to 1|Reducer Type:Single|Size:140TC"
1318389,"Output HP:0.04|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:140TC"
1318392,"Output HP:1.158|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:56C"
1318393,"Output HP:2.422|Output RPM:350|Ratio:5 to 1|Reducer Type:Single"
1318394,"Output HP:1.745|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single"
1318395,"Output HP:1.466|Output RPM:175|Ratio:10 to 1|Reducer Type:Single"
1318396,"Output HP:1.058|Output RPM:116|Ratio:15 to 1|Reducer Type:Single"
1318397,"Output HP:0.875|Output RPM:87|Ratio:20 to 1|Reducer Type:Single"
1318398,"Output HP:0.715|Output RPM:70|Ratio:25 to 1|Reducer Type:Single"
1318399,"Output HP:0.569|Output RPM:58|Ratio:30 to 1|Reducer Type:Single"
1318400,"Output HP:0.44|Output RPM:43|Ratio:40 to 1|Reducer Type:Single"
1318401,"Output HP:0.352|Output RPM:35|Ratio:50 to 1|Reducer Type:Single"
1318402,"Output HP:0.288|Output RPM:29|Ratio:60 to 1|Reducer Type:Single"
1318403,"Output HP:0.124|Output RPM:21|Ratio:80 to 1|Reducer Type:Single"
1318404,"Output HP:0.077|Output RPM:17|Ratio:100 to 1|Reducer Type:Single"
1318405,"Output HP:2.422|Output RPM:350|Ratio:5 to 1|Reducer Type:Single"
1318406,"Output HP:1.745|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single"
1318407,"Output HP:1.466|Output RPM:175|Ratio:10 to 1|Reducer Type:Single"
1318408,"Output HP:1.058|Output RPM:116|Ratio:15 to 1|Reducer Type:Single"
1318409,"Output HP:0.875|Output RPM:87|Ratio:20 to 1|Reducer Type:Single"
1318410,"Output HP:0.715|Output RPM:70|Ratio:25 to 1|Reducer Type:Single"
1318411,"Output HP:0.569|Output RPM:58|Ratio:30 to 1|Reducer Type:Single"
1318412,"Output HP:0.44|Output RPM:43|Ratio:40 to 1|Reducer Type:Single"
1318413,"Output HP:0.352|Output RPM:35|Ratio:50 to 1|Reducer Type:Single"
1318414,"Output HP:0.288|Output RPM:29|Ratio:60 to 1|Reducer Type:Single"
1318415,"Output HP:0.124|Output RPM:21|Ratio:80 to 1|Reducer Type:Single"
1318416,"Output HP:0.077|Output RPM:17|Ratio:100 to 1|Reducer Type:Single"
1318417,"Output HP:2.422|Output RPM:350|Ratio:5 to 1|Reducer Type:Single"
1318418,"Output HP:1.745|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single"
1318419,"Output HP:1.466|Output RPM:175|Ratio:10 to 1|Reducer Type:Single"
1318420,"Output HP:1.058|Output RPM:116|Ratio:15 to 1|Reducer Type:Single"
1318421,"Output HP:0.875|Output RPM:87|Ratio:20 to 1|Reducer Type:Single"
1318422,"Output HP:0.715|Output RPM:70|Ratio:25 to 1|Reducer Type:Single"
1318423,"Output HP:0.569|Output RPM:58|Ratio:30 to 1|Reducer Type:Single"
1318424,"Output HP:0.44|Output RPM:43|Ratio:40 to 1|Reducer Type:Single"
1318425,"Output HP:0.352|Output RPM:35|Ratio:50 to 1|Reducer Type:Single"
1318426,"Output HP:0.288|Output RPM:29|Ratio:60 to 1|Reducer Type:Single"
1318427,"Output HP:0.124|Output RPM:21|Ratio:80 to 1|Reducer Type:Single"
1318428,"Output HP:0.077|Output RPM:17|Ratio:100 to 1|Reducer Type:Single"
1318429,"Output HP:2.422|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:56C"
1318430,"Output HP:1.745|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:56C"
1318431,"Output HP:1.466|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
1318433,"Output HP:0.875|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:56C"
1318434,"Output HP:0.715|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:56C"
1318435,"Output HP:0.569|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:56C"
1318436,"Output HP:0.44|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:56C"
1318437,"Output HP:0.352|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:56C"
1318438,"Output HP:0.288|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
1318439,"Output HP:0.124|Output RPM:21|Ratio:80 to 1|Reducer Type:Single|Size:56C"
1318440,"Output HP:0.077|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:56C"
1318441,"Output HP:2.422|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:56C"
1318442,"Output HP:1.745|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:56C"
1318443,"Output HP:1.466|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
1318444,"Output HP:1.058|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:56C"
1318445,"Output HP:0.875|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:56C"
1318446,"Output HP:0.715|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:56C"
1318447,"Output HP:0.569|Output RPM:58|Ratio:30 to 1|Reducer Type:Single|Size:56C"
1318448,"Output HP:0.44|Output RPM:43|Ratio:40 to 1|Reducer Type:Single|Size:56C"
1318449,"Output HP:0.352|Output RPM:35|Ratio:50 to 1|Reducer Type:Single|Size:56C"
1318450,"Output HP:0.288|Output RPM:29|Ratio:60 to 1|Reducer Type:Single|Size:56C"
1318451,"Output HP:0.124|Output RPM:21|Ratio:80 to 1|Reducer Type:Single|Size:56C"
1318452,"Output HP:0.077|Output RPM:17|Ratio:100 to 1|Reducer Type:Single|Size:56C"
1318453,"Output HP:2.422|Output RPM:350|Ratio:5 to 1|Reducer Type:Single|Size:56C"
1318454,"Output HP:1.745|Output RPM:233|Ratio:7.5 to 1|Reducer Type:Single|Size:56C"
1318455,"Output HP:1.466|Output RPM:175|Ratio:10 to 1|Reducer Type:Single|Size:56C"
1318456,"Output HP:1.058|Output RPM:116|Ratio:15 to 1|Reducer Type:Single|Size:56C"
1318457,"Output HP:0.875|Output RPM:87|Ratio:20 to 1|Reducer Type:Single|Size:56C"
1318458,"Output HP:0.715|Output RPM:70|Ratio:25 to 1|Reducer Type:Single|Size:56C"
