"ID","DETAIL_ATTRIBUTES"
478583,"Capscrews:Standard Imperial|Continuous Torque Rating:925 lb-in / 105 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:5.38 in / 137mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478584,"Capscrews:Standard Imperial|Continuous Torque Rating:1,160 lb-in / 131 Nm|Coupling Style:Close Coupled|Element Material:Heavy Duty Yellow (HDY)|Element Style:+25% Greater Torque Capacity|Height (in):6.00|Length (in):4.00|Major Diameter of Coupling:5.38 in / 137mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.36|Volume unit:CDM|Width (in):6.00"
478585,"Capscrews:Standard Imperial|Continuous Torque Rating:925 lb-in / 105 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):6.00|Length (in):4.00|Major Diameter of Coupling:5.38 in / 137mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.36|Volume unit:CDM|Width (in):6.00"
478586,"Capscrews:Metric Capscrews|Continuous Torque Rating:925 lb-in / 105 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):6.00|Length (in):4.00|Major Diameter of Coupling:5.38 in / 137mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.36|Volume unit:CDM|Width (in):6.00"
478587,"Capscrews:Metric Capscrews|Continuous Torque Rating:925 lb-in / 105 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):6.00|Length (in):4.00|Major Diameter of Coupling:5.38 in / 137mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.36|Volume unit:CDM|Width (in):6.00"
478591,"Capscrews:Standard Imperial|Continuous Torque Rating:1,450 lb-in / 164 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:6.38 in / 163mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:2.104|Volume unit:GLL|Width (in):6.00"
478592,"Capscrews:Standard Imperial|Continuous Torque Rating:1,815 lb-in / 205 Nm|Coupling Style:Close Coupled|Element Material:Heavy Duty Yellow (HDY)|Element Style:+25% Greater Torque Capacity|Height (in):7.00|Length (in):4.00|Major Diameter of Coupling:6.38 in / 163mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.212|Volume unit:CDM|Width (in):7.00"
478593,"Capscrews:Standard Imperial|Continuous Torque Rating:1,450 lb-in / 164 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):7.00|Length (in):4.00|Major Diameter of Coupling:6.38 in / 163mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:3.212|Volume unit:CDM|Width (in):7.00"
478594,"Capscrews:Metric Capscrews|Continuous Torque Rating:1,450 lb-in / 164 Nm|Coupling Style:Close Coupled|Element Material:Urethane (Orange)|Element Style:High Misalignment|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:6.38 in / 163mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:11.946|Volume unit:CDM|Width (in):9.00"
478595,"Capscrews:Metric Capscrews|Continuous Torque Rating:1,450 lb-in / 164 Nm|Coupling Style:Close Coupled|Element Material:Hydrolytically Stable Urethane (HSU)|Element Style:Hot & Humid Environment Resistance|Height (in):9.00|Length (in):9.00|Major Diameter of Coupling:6.38 in / 163mm|Product:Omega Close-Coupled Elastomeric Elements|Rexnord California's Proposition 65 Policy:True|Series:Elements-Flexible|Shoe Coating:Standard Coating|Volume:11.946|Volume unit:CDM|Width (in):9.00"
