ID,ATTRIBUTES
478686,"Product Size:ES2-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478687,"Product Size:ES2-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478688,"Product Size:ES2-RM|Coupling Type:Elastomeric|Maximum RPM:6,600"
478689,"Product Size:ES2-RM|Coupling Type:Elastomeric|Maximum RPM:6,600"
478692,"Product Size:ES3-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478693,"Product Size:ES3-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478694,"Product Size:ES3-RM|Coupling Type:Elastomeric|Maximum RPM:6,600"
478695,"Product Size:ES3-RM|Coupling Type:Elastomeric|Maximum RPM:6,600"
478698,"Product Size:ES4-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478699,"Product Size:ES4-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478700,"Product Size:ES4-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478702,"Product Size:ES4-RM|Coupling Type:Elastomeric|Maximum RPM:6,600"
478706,"Product Size:ES5-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478707,"Product Size:ES5-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478708,"Product Size:ES5-RM|Coupling Type:Elastomeric|Maximum RPM:6,600"
478709,"Product Size:ES5-RM|Coupling Type:Elastomeric|Maximum RPM:6,600"
478712,"Product Size:ES10-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478713,"Product Size:ES10-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478714,"Product Size:ES10-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478715,"Product Size:ES10-RM|Coupling Type:Elastomeric|Maximum RPM:6,600"
478716,"Product Size:ES10-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478719,"Product Size:ES20|Coupling Type:Elastomeric|Maximum RPM:4,800"
478720,"Product Size:ES20|Coupling Type:Elastomeric|Maximum RPM:4,800"
478721,"Product Size:ES20|Coupling Type:Elastomeric|Maximum RPM:4,800"
478722,"Product Size:ES20M|Coupling Type:Elastomeric|Maximum RPM:4,800"
478723,"Product Size:ES20M|Coupling Type:Elastomeric|Maximum RPM:4,800"
478724,"Product Size:ES20M|Coupling Type:Elastomeric|Maximum RPM:4,800"
478725,"Product Size:ES20-R|Coupling Type:Elastomeric|Maximum RPM:6,600"
478730,"Product Size:ES30|Coupling Type:Elastomeric|Maximum RPM:4,200"
478731,"Product Size:ES30|Coupling Type:Elastomeric|Maximum RPM:4,200"
478732,"Product Size:ES30M|Coupling Type:Elastomeric|Maximum RPM:4,200"
478733,"Product Size:ES30M|Coupling Type:Elastomeric|Maximum RPM:4,200"
478734,"Product Size:ES30-R|Coupling Type:Elastomeric|Maximum RPM:5,800"
478739,"Product Size:ES40|Coupling Type:Elastomeric|Maximum RPM:3,600"
478740,"Product Size:ES40|Coupling Type:Elastomeric|Maximum RPM:3,600"
478741,"Product Size:ES40M|Coupling Type:Elastomeric|Maximum RPM:3,600"
478742,"Product Size:ES40M|Coupling Type:Elastomeric|Maximum RPM:3,600"
478743,"Product Size:ES40-R|Coupling Type:Elastomeric|Maximum RPM:5,500"
478747,"Product Size:ES50|Coupling Type:Elastomeric|Maximum RPM:3,100"
478748,"Product Size:ES50|Coupling Type:Elastomeric|Maximum RPM:3,100"
478749,"Product Size:ES50M|Coupling Type:Elastomeric|Maximum RPM:3,100"
478750,"Product Size:ES50M|Coupling Type:Elastomeric|Maximum RPM:3,100"
478751,"Product Size:ES50|Coupling Type:Elastomeric|Maximum RPM:4,200"
