"id", "catalog_number", "attributes", "detail_attributes"
"5023127","56219","Width (in):48","Belt Width (in):48|Belt Width (mm):1219|Transfer Width (in):5|Mounting Bar Offset (mm):38|Transfer Width (mm):127|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):1.5"
"5023126","56214","Width (in):48","Belt Width (in):48|Belt Width (mm):1219|Transfer Width (in):4|Mounting Bar Offset (mm):25|Transfer Width (mm):102|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):1.0"
"5023125","56209","Width (in):48","Belt Width (in):48|Belt Width (mm):1219|Transfer Width (in):3|Mounting Bar Offset (mm):13|Transfer Width (mm):76|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):0.5"
"5023124","56223","Width (in):42","Belt Width (in):42|Belt Width (mm):1067|Transfer Width (in):6|Mounting Bar Offset (mm):51|Transfer Width (mm):152|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):2.0"
"5023123","56218","Width (in):42","Belt Width (in):42|Belt Width (mm):1067|Transfer Width (in):5|Mounting Bar Offset (mm):38|Transfer Width (mm):127|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):1.5"
"5023122","56213","Width (in):42","Belt Width (in):42|Belt Width (mm):1067|Transfer Width (in):4|Mounting Bar Offset (mm):25|Transfer Width (mm):102|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):1.0"
"5023115","56208","Width (in):42","Belt Width (in):42|Belt Width (mm):1067|Transfer Width (in):3|Mounting Bar Offset (mm):13|Transfer Width (mm):76|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):0.5"
"5023114","56222","Width (in):36","Belt Width (in):36|Belt Width (mm):914|Transfer Width (in):6|Mounting Bar Offset (mm):51|Transfer Width (mm):152|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):2.0"
"5023113","56212","Width (in):36","Belt Width (in):36|Belt Width (mm):914|Transfer Width (in):4|Mounting Bar Offset (mm):25|Transfer Width (mm):102|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):1.0"
"5023112","56207","Width (in):36","Belt Width (in):36|Belt Width (mm):914|Transfer Width (in):3|Mounting Bar Offset (mm):13|Transfer Width (mm):76|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):0.5"
"5023111","56221","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):6|Mounting Bar Offset (mm):51|Transfer Width (mm):152|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):2.0"
"5023108","56216","Width (in):24","Belt Width (in):24|Belt Width (mm):610|Transfer Width (in):5|Mounting Bar Offset (mm):38|Transfer Width (mm):127|Applications:Belt to Chute or Slide|Mounting Bar Offset (in):1.5"
