file-name,catalog-number,list-price,net-price,is-product-not-found
3-1100.xhtml,SC158,$170.00,$127.50,
3-1101.xhtml,SC156,$168.00,$126.00,
3-1102.xhtml,RJA1538,"$2,968.00","$2,226.00",
3-1103.xhtml,RJA1022,"$1,714.00","$1,285.50",
3-1104.xhtml,RJ2029,"$2,246.00","$1,684.50",
3-1105.xhtml,RJ24A,"$2,057.00","$1,542.75",
3-1106.xhtml,RJ22B,"$1,654.00","$1,240.50",
3-1107.xhtml,RJ1017,"$1,562.00","$1,171.50",
3-1108.xhtml,RJ86A,$933.00,$699.75,
3-1109.xhtml,RJ85A,$853.00,$639.75,
3-111.xhtml,,,,/file/general/404top.png
3-1110.xhtml,RJ84A,$810.00,$607.50,
3-1111.xhtml,PP61015,$399.00,$299.25,
3-1112.xhtml,PP610,$895.00,$671.25,
3-1113.xhtml,S3A,$147.00,$110.25,
3-1114.xhtml,PJ4P,$555.00,$416.25,
3-1115.xhtml,PJ3P,$315.00,$236.25,
3-1116.xhtml,PJ2P,$188.00,$141.00,
3-1117.xhtml,PJ1P,$148.00,$111.00,
3-1118.xhtml,LPC100,"$1,646.00","$1,234.50",
3-1119.xhtml,LPC50,"$1,015.00",$761.25,
3-112.xhtml,,,,/file/general/404top.png
3-1120.xhtml,LPC30,,,
3-1121.xhtml,LPC15,$629.00,$471.75,
3-1122.xhtml,JJA5010B,"$3,819.00","$2,864.25",
3-1123.xhtml,JJA3510D,"$2,377.00","$1,782.75",
3-1124.xhtml,JJA2515C,"$3,150.00","$2,362.50",
3-1125.xhtml,JJA2510C,"$2,100.00","$1,575.00",
3-1126.xhtml,JJA1510C,"$1,589.00","$1,191.75",
3-1127.xhtml,JJ5010B,"$3,710.00","$2,782.50",
3-1128.xhtml,JJ3510D,"$2,307.00","$1,730.25",
3-1129.xhtml,JJ2510C,"$2,038.00","$1,528.50",
3-113.xhtml,,,,/file/general/404top.png
3-1130.xhtml,CRA1029R,"$2,617.00","$1,962.75",
3-1131.xhtml,CRA1029L,"$2,617.00","$1,962.75",
3-1132.xhtml,CR321B,"$2,359.00","$1,769.25",
3-1133.xhtml,CR320B,"$1,486.00","$1,114.50",
3-1134.xhtml,CJ100,"$1,499.00","$1,124.25",
3-1135.xhtml,CJ50,$896.00,$672.00,
3-1136.xhtml,CJ30,,,
3-1137.xhtml,CJ15,,,
3-1138.xhtml,RS139AS78114,$895.00,$671.25,
3-1139.xhtml,,,,/file/general/404top.png
3-114.xhtml,,,,/file/general/404top.png
3-1140.xhtml,,,,/file/general/404top.png
3-1141.xhtml,,,,/file/general/404top.png
3-1142.xhtml,,,,/file/general/404top.png
3-1143.xhtml,RS139AS66102,$837.00,$627.75,
3-1144.xhtml,,,,/file/general/404top.png
3-1145.xhtml,,,,/file/general/404top.png
3-1146.xhtml,,,,/file/general/404top.png
3-1147.xhtml,,,,/file/general/404top.png
3-1148.xhtml,,,,/file/general/404top.png
3-1149.xhtml,,,,/file/general/404top.png
3-115.xhtml,,,,/file/general/404top.png
3-1150.xhtml,,,,/file/general/404top.png
3-1151.xhtml,,,,/file/general/404top.png
3-1152.xhtml,,,,/file/general/404top.png
3-1153.xhtml,,,,/file/general/404top.png
3-1154.xhtml,,,,/file/general/404top.png
3-1155.xhtml,,,,/file/general/404top.png
3-1156.xhtml,,,,/file/general/404top.png
3-1157.xhtml,,,,/file/general/404top.png
3-1158.xhtml,,,,/file/general/404top.png
3-1159.xhtml,,,,/file/general/404top.png
3-116.xhtml,,,,/file/general/404top.png
3-1160.xhtml,,,,/file/general/404top.png
3-1161.xhtml,,,,/file/general/404top.png
3-1162.xhtml,,,,/file/general/404top.png
3-1163.xhtml,,,,/file/general/404top.png
3-1164.xhtml,,,,/file/general/404top.png
3-1165.xhtml,,,,/file/general/404top.png
3-1166.xhtml,,,,/file/general/404top.png
3-1167.xhtml,,,,/file/general/404top.png
3-1168.xhtml,,,,/file/general/404top.png
3-1169.xhtml,,,,/file/general/404top.png
3-117.xhtml,,,,/file/general/404top.png
3-1170.xhtml,,,,/file/general/404top.png
3-1171.xhtml,,,,/file/general/404top.png
3-1172.xhtml,,,,/file/general/404top.png
3-1173.xhtml,,,,/file/general/404top.png
3-1174.xhtml,,,,/file/general/404top.png
3-1175.xhtml,,,,/file/general/404top.png
3-1176.xhtml,,,,/file/general/404top.png
3-1177.xhtml,,,,/file/general/404top.png
3-1178.xhtml,,,,/file/general/404top.png
3-1179.xhtml,,,,/file/general/404top.png
3-118.xhtml,,,,/file/general/404top.png
3-1180.xhtml,,,,/file/general/404top.png
3-1181.xhtml,,,,/file/general/404top.png
3-1182.xhtml,,,,/file/general/404top.png
3-1183.xhtml,WST2458,"$1,013.00",$577.41,
3-1184.xhtml,WST2457,$852.00,$485.64,
3-1185.xhtml,WST2455,$650.00,$370.50,
3-1186.xhtml,WST2451,$573.00,$326.61,
3-1187.xhtml,WST2449,$541.00,$308.37,
3-1188.xhtml,WST1656,,,
3-1189.xhtml,WST1651,,,
3-119.xhtml,,,,/file/general/404top.png
3-1190.xhtml,WST1648,,,
3-1191.xhtml,WST1641,$296.00,$168.72,
3-1192.xhtml,WST1636,,,
3-1193.xhtml,WST1632,$152.00,$86.64,
3-1194.xhtml,WST1629,$128.00,$72.96,
3-1195.xhtml,WST1621,$100.00,$57.00,
3-1196.xhtml,WST1619,$86.00,$49.02,
3-1197.xhtml,WST1617,$86.00,$49.02,
3-1198.xhtml,WST1616,$86.00,$49.02,
3-1199.xhtml,WST1614,$86.00,$49.02,
3-12.xhtml,RR15013,"$10,424.00","$6,775.60",
3-120.xhtml,,,,/file/general/404top.png
3-1200.xhtml,WST1612,,,
3-1201.xhtml,WST1215,,,
3-1202.xhtml,WMT4,$387.00,$220.59,
3-1203.xhtml,WH40,"$1,806.00","$1,029.42",
3-1204.xhtml,WH20,"$1,163.00",$662.91,
3-1205.xhtml,WH15,"$1,107.00",$630.99,
3-1206.xhtml,WCH1,$316.00,$180.12,
3-1207.xhtml,,,,/file/general/404top.png
3-1208.xhtml,,,,/file/general/404top.png
3-1209.xhtml,,,,/file/general/404top.png
3-121.xhtml,,,,/file/general/404top.png
3-1210.xhtml,,,,/file/general/404top.png
3-1211.xhtml,,,,/file/general/404top.png
3-1212.xhtml,VRS41CC,,,
3-1213.xhtml,VRS41,"$2,938.00","$1,674.66",
3-1214.xhtml,VRS31CC,,,
3-1215.xhtml,VRS31,,,
3-1216.xhtml,VRM3,,,
3-1217.xhtml,VR4CC,$992.00,$565.44,
3-1218.xhtml,VR4,$992.00,$565.44,
3-1219.xhtml,VR3CC,$992.00,$565.44,
3-122.xhtml,,,,/file/general/404top.png
3-1220.xhtml,VPSL41,"$2,871.00","$1,636.47",
3-1221.xhtml,VPSL31,,,
3-1222.xhtml,VPS41,"$2,871.00","$1,636.47",
3-1223.xhtml,VPS31,"$2,344.00","$1,336.08",
3-1224.xhtml,VPL4,"$1,320.00",$752.40,
3-1225.xhtml,VPL3,"$1,320.00",$752.40,
3-1226.xhtml,VPA4,"$2,871.00","$1,636.47",
3-1227.xhtml,VP4,$965.00,$550.05,
3-1228.xhtml,VP3,$965.00,$550.05,
3-1229.xhtml,VP2,$609.00,$347.13,
3-123.xhtml,,,,/file/general/404top.png
3-1230.xhtml,V10EC,$554.00,$315.78,
3-1231.xhtml,V10E,$402.00,$229.14,
3-1232.xhtml,V5B,$175.00,$99.75,
3-1233.xhtml,V3,$247.00,$140.79,
3-1234.xhtml,V2,"$1,178.00",$671.46,
3-1235.xhtml,V1,$480.00,$273.60,
3-1236.xhtml,UH11,$288.00,$164.16,
3-1237.xhtml,UH10,,,
3-1238.xhtml,UH9,$88.00,$50.16,
3-1239.xhtml,UH8,$945.00,$538.65,
3-124.xhtml,,,,/file/general/404top.png
3-1240.xhtml,UH7,,,
3-1241.xhtml,UH6,$56.00,$31.92,
3-1242.xhtml,UH5,$307.00,$174.99,
3-1243.xhtml,UH4,$505.00,$287.85,
3-1244.xhtml,UH3,,,
3-1245.xhtml,UH2,,,
3-1246.xhtml,UH1,,,
3-1247.xhtml,TJM109,"$2,954.00","$1,683.78",
3-1248.xhtml,TJH109LS,"$3,051.00","$1,739.07",
3-1249.xhtml,TJH109,,,
3-125.xhtml,,,,/file/general/404top.png
3-1250.xhtml,TJH10A,"$1,801.00","$1,026.57",
3-1251.xhtml,TJH5A,"$1,185.00",$675.45,
3-1252.xhtml,TJH2A,"$1,151.00",$656.07,
3-1253.xhtml,STL1002,"$3,606.00","$2,055.42",
3-1254.xhtml,STL603HC,,,
