id,catalog_number,attributes,detail_attributes
5902996,CFW500A01P6T4NB20Y2,,
5902995,CFW500A01P6S2NB20Y2,,
5902994,CFW500A01P6B2NB20Y2,,
5902993,CFW500A01P0T4NB20Y2,,
5902992,NDE-W22-IEEE-320,,
5902991,NDE-W22-IEEE-280,,
5902990,NDE-W22-IEEE-210,,
5902989,DES-W22-IEEE-280,,
5902988,00336ET3H145T-W22,Hz:60|Voltage:575|Phase:3|Hp:3|RPM:3600|Enclosure:TEFC|Frame:145T,
5902987,FLC-IE180-INPRO-W22,,
5902986,20012XT3H447T,Hz:60|Voltage:575|Phase:3|Hp:200|RPM:1200|Enclosure:XP|Frame:447T,
5902985,VPC-O5010/11-W40,,
5902984,CFW110045T4OFAYZ,,
5902983,02512ET3H324JM-W22,Hz:60|Voltage:575|Phase:3|Hp:25|RPM:1200|Enclosure:TEFC|Frame:324JM,
5902982,FLC-O447/9-314-W40,,
5902981,URMP V23,,
5902980,RTD-12361954,,
5902979,TBX-14372558,,
5902978,TBX-ES315-4,,
5902977,TBX-14357587,,
5902976,TERMBLCK-14222466,,
5902975,SP-TBX-12643900,,
5902974,BASEPLATE-13704608,,
5902973,BASEPLATE-13704526,,
5902972,BASEPLATE-13704525,,
5902971,BASEPLATE-13704524,,
5902970,SP-TACSEAL-10017390,,
5902969,CFW11SP-10186815,,
5902968,STS-12289211,,
5902967,SSW7000C120T211N2,,
5902966,SSW7000C100T211N2,,
5902965,SSW7000C370T411N2,,
5902964,SSW7000C300T411N2,,
5902963,SSW7000C240T411N2,,
5902962,SSW7000C210T411N2,,
5902961,SSW7000C180T411N2,,
5902960,SSW7000C300T211N2,,
5902959,SSW7000C150T411N2,,
5902958,SSW7000C120T411N2,,
5902957,SSW070412T5SH2RFZ,,
5902956,SSW070365T5SH2RFZ,,
5902955,SSW070365T5SH2Z,,
5902954,SSW070312T5SH2RFZ,,
5902953,SSW070312T5SH2Z,,
5902952,SSW070255T5SH2RFZ,,
5902951,SSW070255T5SH2Z,,
5902950,SSW06SP-10189902,,
5902949,SSW06SP-10203481,,
5902948,SSW06SP-10203484,,
5902947,SSW06SP-10056503,,
5902946,SP-TERMBLCK-12643903,,
5902945,FCO-E210-SPECIAL,,
5902944,FLD-14155594,,
5902943,FLD-E580-322-VENT,,
5902942,FLD-E440-322-VENT,,
5902941,FLD-E440-314-VENT,,
5902940,FLC-E440-314-VENT,,
5902939,CFW11SP-12017561,,
5902938,CFW11SP-12017558,,
5902937,CFW11SP-12017507,,
5902936,CFW11SP-12017505,,
5902935,CFW11SP-12017453,,
5902934,CFW11SP-12017452,,
5902933,CFW11SP-12017449,,
5902932,CFW11SP-11468420,,
5902931,CFW11SP-11468419,,
5902930,CFW11SP-11468403,,
5902929,CFW11SP-11452698,,
5902928,CFW11SP-11468402,,
5902927,CFW11SP-11468399,,
5902926,CFW11SP-11392497,,
5902925,CFW11SP-11020168,,
5902924,CFW11SP-11020237,,
5902923,SRMP D51,,
5902922,SRMP D65,,
5902921,FNLB9-100-13562366,,
5902920,MR DWB800-1600,,
5902919,MR DWB400,,
5902918,CFW09SP-10432127,,
5902917,MRXS-A-DWB250-R,,
5902916,MRXS-A-DWB160-R,,
5902915,MRXS-A-DWB250-BU,,
5902914,MRXS-A-DWB160-BU,,
5902913,MRXS-B-1-R,,
5902912,MRXS-B-1-BU,,
5902911,SEAL-10661212,,
5902910,SEAL-10043373,,
5902909,AF5F X5,,
5902908,BCK-SGRI-312-ODP-CT,,
5902907,BCK-SGRI-311-ODP-CT,,
5902906,RMMP-330E,,
5902905,RMMP-130E,,
5902904,HMI-GRAF,,
5902903,NDE-X440/500-314,,
5902902,CFW09SP-10203408,,
5902901,CFW09SP-10203387,,
5902900,CWB50-11-30D02,,
5902899,DES-O447/9-6314-W40,,
5902898,TBX-O447/9-W40,,
5902897,PESW-B9D45AX-R58,,
5902896,H311007112,Frame:184TC|RPM:1800|Voltage:208-230/460V|Enclosure:TEFC,
5902895,H311007113,Frame:182/4TC|RPM:1800|Voltage:230/460 V|Enclosure:TEFC,
5902894,H311007110,Frame:182/4TC|RPM:1800|Voltage:230/460 V|Enclosure:TEFC,
5902893,H311007111,Frame:184TC|RPM:1800|Voltage:208-230/460V|Enclosure:TEFC,
5902892,FLD-O320-W40,,
5902891,FLD-O280-W40,,
5902890,FLC-O320-W40,,
5902889,ESW-B18D77E-R32,,
5902888,DRCV-O320-W40,,
5902887,DRCV-O280-W40,,
5902886,DRCV-O250-W40,,
5902885,DES-O320-W40,,
5902884,DES-O280-W40,,
5902883,DES-O250-W40,,
5902882,CFW100C04P2S220G2,,
5902881,CFW100B02P6S220G2,,
5902880,ESWS-B9V24E-RM26,,
5902879,ESWS-B9V24E-RM25,,
5902878,ESW-B9D39E-R23,,
5902877,ESW-B9D39A-R29,,
5902876,ESW-B9V24E-R23,,
5902875,ESW-B9D15A-R23,,
5902874,30036OP3HFP445TS-W40,Hz:60|Voltage:575|Phase:3|Hp:300|RPM:3600|Enclosure:ODP|Frame:445TS,
5902873,25036OT3G445TS-W40,Hz:60|Voltage:460|Phase:3|Hp:250|RPM:3600|Enclosure:ODP|Frame:445TS,
5902872,25036OP3HFP445TS-W40,Hz:60|Voltage:575|Phase:3|Hp:250|RPM:3600|Enclosure:ODP|Frame:445TS,
5902871,15036OT3G405TS-W40G,Hz:60|Voltage:460|Phase:3|Hp:150|RPM:3600|Enclosure:ODP|Frame:405TS,
5902870,15036OT3G405JP-W40,Hz:60|Voltage:460|Phase:3|Hp:150|RPM:3600|Enclosure:ODP|Frame:405JP,
5902869,15018OT3H444TSDF2-W4,Hz:60|Voltage:575|Phase:3|Hp:150|RPM:1800|Enclosure:ODP|Frame:444TS,
5902868,1323087114,Hz:60|Voltage:230/460|Phase:3|Hp:3/4|RPM:3600|Enclosure:TENV|Frame:56C,
5902867,1323087113,Hz:60|Voltage:230/460|Phase:3|Hp:1/2|RPM:3600|Enclosure:TENV|Frame:56C,
5902866,1323087112,Hz:60|Voltage:230/460|Phase:3|Hp:1/2|RPM:3600|Enclosure:TENV|Frame:56C,
5902865,1323087110,Hz:60|Voltage:230/460|Phase:3|Hp:3/4|RPM:3600|Enclosure:TENV|Frame:56C,
5902864,1321087158,Hz:60|Voltage:230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TENV|Frame:100,
5902863,1321087140,Hz:60|Voltage:230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TENV|Frame:56C,
5902862,1321087139,Hz:60|Voltage:230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TENV|Frame:56C,
5902861,1321087125,Hz:60|Voltage:230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TENV|Frame:56C,
5902860,1321087124,Hz:60|Voltage:230/460|Phase:3|Hp:1|RPM:1800|Enclosure:TENV|Frame:143TC,
5902859,1321087121,Hz:60|Voltage:230/460|Phase:3|Hp:1/2|RPM:1800|Enclosure:TENV|Frame:56C,
