file_name,catalog_number,attribute_name,attribute_value
1%20(191),110089,Stroke Length (in),1.625
1%20(192),110090,Stroke Length (in),1.625
1%20(193),110091,Stroke Length (in),1.625
1%20(194),110092,Stroke Length (in),1.625
1%20(195),110093,Stroke Length (in),1.625
1%20(196),110094,Stroke Length (in),1.625
1%20(197),110095,Stroke Length (in),1.625
1%20(198),110096,Stroke Length (in),1.625
1%20(199),110097,Stroke Length (in),1.625
1%20(2),100222,Length (in),6.378
1%20(2),100222,Port Size,1/4 NPT
1%20(200),110098,Stroke Length (in),1.625
1%20(201),110099,Stroke Length (in),1.625
1%20(202),110100,Stroke Length (in),1.625
1%20(207),110110,Stroke Length (in),0.818
1%20(208),110111,Stroke Length (in),0.818
1%20(209),110112,Stroke Length (in),0.818
1%20(21),100179-230,Length (in),14.875
1%20(21),100179-230,Width (in),9.25
1%20(210),110113,Stroke Length (in),0.818
1%20(211),110114,Stroke Length (in),0.818
1%20(212),110115,Stroke Length (in),0.818
1%20(213),110116,Stroke Length (in),1.267
1%20(214),110117,Stroke Length (in),1.267
1%20(215),110118,Stroke Length (in),1.267
1%20(216),110119,Stroke Length (in),1.267
1%20(217),110120,Stroke Length (in),1.267
1%20(218),110121,Stroke Length (in),1.267
1%20(219),110126,Stroke Length (in),0.638
1%20(220),110127,Stroke Length (in),0.638
1%20(221),110128,Stroke Length (in),0.638
1%20(222),110129,Stroke Length (in),0.638
1%20(223),110130,Stroke Length (in),0.638
1%20(224),110131,Stroke Length (in),0.638
1%20(225),110144,Stroke Length (in),0.638
1%20(226),110145,Stroke Length (in),0.638
1%20(227),110146,Stroke Length (in),0.638
1%20(228),110147,Stroke Length (in),0.638
1%20(229),110148,Stroke Length (in),0.638
1%20(230),110149,Stroke Length (in),0.638
1%20(231),110150,Stroke Length (in),0.638
1%20(232),110151,Stroke Length (in),0.638
1%20(233),110152,Stroke Length (in),0.638
1%20(234),110153,Stroke Length (in),0.638
1%20(235),110154,Stroke Length (in),0.638
1%20(236),110155,Stroke Length (in),0.638
1%20(237),110173,Stroke Length (in),0.873
1%20(238),110174,Stroke Length (in),0.873
1%20(239),110175,Stroke Length (in),0.873
1%20(24),100879-230,Length (in),14.125
1%20(24),100879-230,Width (in),11.5
1%20(240),110176,Stroke Length (in),0.873
1%20(241),110177,Stroke Length (in),0.873
1%20(242),110178,Stroke Length (in),0.873
1%20(243),110179,Stroke Length (in),0.873
1%20(244),110180,Stroke Length (in),0.873
1%20(245),110181,Stroke Length (in),0.873
1%20(246),110182,Stroke Length (in),0.873
1%20(247),110183,Stroke Length (in),0.873
1%20(248),110184,Stroke Length (in),0.873
1%20(25),100888-230,Length (in),14.125
1%20(25),100888-230,Width (in),11.5
1%20(252),110188,Width (in),2.062
1%20(253),110191,Stroke Length (in),0.873
1%20(254),110192,Stroke Length (in),0.873
1%20(255),110193,Stroke Length (in),0.873
1%20(256),110194,Stroke Length (in),0.873
1%20(257),110195,Stroke Length (in),0.873
1%20(258),110196,Stroke Length (in),0.873
